auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.9415,0.9776,0.9416,0.8136,0.895,0.8524,CreditCard,D,DevNet,0.09090909090909091,2200,200
0.1261,0.7824,0.133,0.1524,0.3478,0.2119,EmailSpam-bert,C,DeepSVDD,0.04397705544933078,1046,46
0.8988,0.9702,0.899,0.8091,0.89,0.8476,CreditCard,D,FTTransformer,0.09090909090909091,2200,200
0.8437,0.9663,0.8467,0.7964,0.88,0.8361,CreditCard,D,FEAWAD,0.09090909090909091,2200,200
0.0938,0.6988,0.0991,0.1238,0.2826,0.1722,EmailSpam-bert,C,GANoma,0.04397705544933078,1046,46
0.1044,0.795,0.1093,0.1238,0.2826,0.1722,EmailSpam-bert,B,VAE,0.04397705544933078,1046,46
0.7729,0.9672,0.7736,0.7182,0.79,0.7524,NSL-KDD,C,VAE,0.09090909090909091,2200,200
0.3624,0.7312,0.3641,0.2909,0.32,0.3048,AnnThyroid,B,AE,0.09090909090909091,1100,100
0.6768,0.9324,0.6788,0.5455,0.6,0.5714,NSL-KDD,A,LUNAR,0.09090909090909091,2200,200
0.3086,0.7457,0.3127,0.3364,0.37,0.3524,AnnThyroid,D,VAE,0.09090909090909091,1100,100
0.478,0.7632,0.4573,0.4227,0.465,0.4429,NSL-KDD,D,SO_GAAL,0.09090909090909091,2200,200
0.6333,0.9527,0.635,0.65,0.715,0.681,NSL-KDD,C,DeepSVDD,0.09090909090909091,2200,200
0.5835,0.8619,0.5808,0.5227,0.575,0.5476,CreditCard,A,DAGMM,0.09090909090909091,2200,200
0.3521,0.888,0.355,0.3591,0.395,0.3762,NSL-KDD,C,DAGMM,0.09090909090909091,2200,200
0.9106,0.9641,0.9108,0.8136,0.895,0.8524,CreditCard,C,FTTransformer,0.09090909090909091,2200,200
0.3336,0.7585,0.337,0.3273,0.36,0.3429,AnnThyroid,C,VAE,0.09090909090909091,1100,100
0.125,0.7903,0.1322,0.1429,0.3261,0.1987,EmailSpam-bert,D,AE,0.04397705544933078,1046,46
0.7159,0.9442,0.7221,0.6773,0.745,0.7095,CreditCard,D,VAE,0.09090909090909091,2200,200
0.0498,0.5559,0.052,0.0476,0.1087,0.0662,EmailSpam-bert,B,DeepSVDD,0.04397705544933078,1046,46
0.7167,0.9835,0.7242,0.419,0.9565,0.5828,EmailSpam-bert,A,FEAWAD,0.04397705544933078,1046,46
0.2498,0.7193,0.254,0.2636,0.29,0.2762,AnnThyroid,D,DeepSVDD,0.09090909090909091,1100,100
0.3731,0.7977,0.3757,0.3455,0.38,0.3619,AnnThyroid,A,DeepSVDD,0.09090909090909091,1100,100
0.7714,0.9456,0.6139,0.6473,0.89,0.7495,CreditCard,B,SO_GAAL,0.09090909090909091,2200,200
0.8787,0.9584,0.879,0.8,0.88,0.8381,CreditCard,B,FEAWAD,0.09090909090909091,2200,200
0.5952,0.9246,0.6018,0.6227,0.685,0.6524,CreditCard,C,LUNAR,0.09090909090909091,2200,200
0.8308,0.9857,0.8323,0.7273,0.8,0.7619,AnnThyroid,B,FTTransformer,0.09090909090909091,1100,100
0.9396,0.9679,0.9397,0.8318,0.915,0.8714,CreditCard,B,DevNet,0.09090909090909091,2200,200
0.7202,0.9206,0.5555,0.6073,0.835,0.7032,CreditCard,C,SO_GAAL,0.09090909090909091,2200,200
0.6573,0.9146,0.6581,0.5727,0.63,0.6,CreditCard,B,GANoma,0.09090909090909091,2200,200
0.6315,0.911,0.6336,0.5227,0.575,0.5476,NSL-KDD,B,LUNAR,0.09090909090909091,2200,200
0.8142,0.94,0.815,0.3714,0.8478,0.5166,EmailSpam-bert,C,DevNet,0.04397705544933078,1046,46
0.0456,0.5439,0.0474,0.0381,0.087,0.053,EmailSpam-bert,D,DeepSVDD,0.04397705544933078,1046,46
0.716,0.9694,0.7188,0.8318,0.915,0.8714,NSL-KDD,A,FEAWAD,0.09090909090909091,2200,200
0.1158,0.5755,0.1183,0.1545,0.17,0.1619,AnnThyroid,B,GANoma,0.09090909090909091,1100,100
0.7168,0.9229,0.7191,0.6636,0.73,0.6952,CreditCard,C,DeepSVDD,0.09090909090909091,2200,200
0.8788,0.9718,0.8806,0.7955,0.875,0.8333,CreditCard,C,FEAWAD,0.09090909090909091,2200,200
