model;dataset;scenario;time
DeepSVDD;AnnThyroid;A;3.37
DAGMM;AnnThyroid;A;12.75
SO_GAAL;AnnThyroid;A;4.01
LUNAR;AnnThyroid;A;3.31
GANoma;AnnThyroid;A;5.69
FTTransformer;AnnThyroid;B;83.82
FEAWAD;AnnThyroid;B;256.72
DevNet;AnnThyroid;B;12.85
FTTransformer;AnnThyroid;C;73.51
FEAWAD;AnnThyroid;C;259.71
DevNet;AnnThyroid;C;13.53
FTTransformer;AnnThyroid;D;176.61
FEAWAD;AnnThyroid;D;266.78
DevNet;AnnThyroid;D;12.6
FTTransformer;AnnThyroid;E;140.89
FEAWAD;AnnThyroid;E;266.11
DevNet;AnnThyroid;E;12.78
AE;EmailSpam-bert;A;2.67
VAE;EmailSpam-bert;A;29.12
DeepSVDD;EmailSpam-bert;A;3.34
DAGMM;EmailSpam-bert;A;10.76
SO_GAAL;EmailSpam-bert;A;11.75
LUNAR;EmailSpam-bert;A;3.01
GANoma;EmailSpam-bert;A;7.95
FTTransformer;EmailSpam-bert;B;3376.83
FEAWAD;EmailSpam-bert;B;375.99
DevNet;EmailSpam-bert;B;12.86
FTTransformer;EmailSpam-bert;C;3778.38
FEAWAD;EmailSpam-bert;C;378.99
DevNet;EmailSpam-bert;C;12.94
FTTransformer;EmailSpam-bert;D;1872.97
FEAWAD;EmailSpam-bert;D;380.01
DevNet;EmailSpam-bert;D;12.83
FTTransformer;EmailSpam-bert;E;6496.44
FEAWAD;EmailSpam-bert;E;376.43
DevNet;EmailSpam-bert;E;12.74
AE;NSL-KDD;A;6.04
VAE;NSL-KDD;A;29.97
DeepSVDD;NSL-KDD;A;5.79
DAGMM;NSL-KDD;A;28.05
SO_GAAL;NSL-KDD;A;20.08
LUNAR;NSL-KDD;A;5.07
GANoma;NSL-KDD;A;13.43
FTTransformer;NSL-KDD;B;798.91
FEAWAD;NSL-KDD;B;269.34
DevNet;NSL-KDD;B;13.35
FTTransformer;NSL-KDD;C;822.33
FEAWAD;NSL-KDD;C;312.81
DevNet;NSL-KDD;C;13.41
FTTransformer;NSL-KDD;D;1459.7
FEAWAD;NSL-KDD;D;290.05
DevNet;NSL-KDD;D;12.75
FTTransformer;NSL-KDD;E;1017.43
FEAWAD;NSL-KDD;E;281.96
DevNet;NSL-KDD;E;12.64
AE;CreditCard;A;4.37
VAE;CreditCard;A;33.84
DeepSVDD;CreditCard;A;5.91
DAGMM;CreditCard;A;24.88
SO_GAAL;CreditCard;A;24.75
LUNAR;CreditCard;A;4.91
GANoma;CreditCard;A;10.09
FTTransformer;CreditCard;B;216.79
FEAWAD;CreditCard;B;272.97
DevNet;CreditCard;B;13.41
FTTransformer;CreditCard;C;162.2
FEAWAD;CreditCard;C;261.83
DevNet;CreditCard;C;13.08
FTTransformer;CreditCard;D;379.18
FEAWAD;CreditCard;D;286.57
DevNet;CreditCard;D;12.71
FTTransformer;CreditCard;E;503.56
FEAWAD;CreditCard;E;275.42
DevNet;CreditCard;E;12.69
AE;AnnThyroid;A;3.67
VAE;AnnThyroid;A;92.4
DeepSVDD;AnnThyroid;A;3.65
DAGMM;AnnThyroid;A;48.17
SO_GAAL;AnnThyroid;A;4.4
LUNAR;AnnThyroid;A;4.11
GANoma;AnnThyroid;A;5.82
FTTransformer;AnnThyroid;B;106.63
FEAWAD;AnnThyroid;B;277.58
DevNet;AnnThyroid;B;12.63
FTTransformer;AnnThyroid;C;98.4
FEAWAD;AnnThyroid;C;265.17
DevNet;AnnThyroid;C;12.81
FTTransformer;AnnThyroid;D;149.51
FEAWAD;AnnThyroid;D;263.71
DevNet;AnnThyroid;D;13.19
FTTransformer;AnnThyroid;E;185.57
FEAWAD;AnnThyroid;E;260.67
DevNet;AnnThyroid;E;12.87
AE;EmailSpam-bert;A;2.09
VAE;EmailSpam-bert;A;28.51
DeepSVDD;EmailSpam-bert;A;3.8
DAGMM;EmailSpam-bert;A;10.75
SO_GAAL;EmailSpam-bert;A;11.89
LUNAR;EmailSpam-bert;A;2.92
GANoma;EmailSpam-bert;A;8.12
FTTransformer;EmailSpam-bert;B;3519.83
FEAWAD;EmailSpam-bert;B;397.03
DevNet;EmailSpam-bert;B;13.85
FTTransformer;EmailSpam-bert;C;6650.65
FEAWAD;EmailSpam-bert;C;386.17
DevNet;EmailSpam-bert;C;12.92
FTTransformer;EmailSpam-bert;D;1774.62
